trial_id,scenario,path_len_m,obstacles_seen,grasp_attempts,doors_opened,avg_speed,room_type,task_duration_sec,reachable_object,success,action_count_total,move_actions,rotate_actions,open_actions,pickup_actions,put_actions,collision_count,cupboard_open_init,clutter_level,distractors_level,strategy_hint
1,S1_core,6.0,8,1,1,2.021213234172329,kitchen,2.968514107546377,1,1,44,24,17,1,1,1,0,1,0.25,0.1,direct
2,S1_core,4.75,11,1,1,1.3508535098227077,kitchen,3.516295412833781,1,1,41,19,19,1,1,1,1,0,0.25,0.1,direct
3,S1_core,8.25,6,2,1,1.593096581118664,kitchen,5.178593751175395,1,0,66,33,29,1,2,1,1,1,0.25,0.1,direct
4,S1_core,5.25,8,1,1,1.6661294415106007,kitchen,3.1510156829352187,1,0,43,21,19,1,1,1,0,0,0.25,0.1,detour
5,S1_core,4.75,2,5,0,1.3908430079070409,kitchen,3.4151949378872484,0,0,38,19,14,0,5,0,1,1,0.25,0.1,detour
6,S1_core,7.0,3,2,2,1.743713482087105,kitchen,4.014420988258623,1,0,56,28,22,2,2,2,1,0,0.25,0.1,cautious
7,S1_core,5.0,7,3,1,1.4508135856864484,kitchen,3.446342141629632,1,1,39,20,14,1,3,1,3,0,0.25,0.1,cautious
8,S1_core,7.0,2,2,0,1.877214829343596,kitchen,3.728928565116696,0,0,55,28,25,0,2,0,0,0,0.25,0.1,direct
9,S1_core,3.75,5,1,1,1.5320139731514937,kitchen,2.4477583531995504,1,1,36,15,18,1,1,1,0,1,0.25,0.1,detour
10,S1_core,4.25,5,2,1,1.6350649250952929,kitchen,2.5992851627908946,1,0,34,17,12,1,2,2,1,0,0.25,0.1,direct
11,S1_core,2.0,5,3,1,0.954519397743158,kitchen,2.0952952917758934,1,1,19,8,6,1,3,1,0,0,0.25,0.1,direct
12,S1_core,6.0,9,3,1,1.541195500775579,kitchen,3.893081699875588,1,1,48,24,18,1,3,2,1,0,0.25,0.1,detour
13,S1_core,5.0,5,1,2,1.9419980338184912,kitchen,2.5746679002391435,1,1,37,20,10,2,1,4,1,0,0.25,0.1,cautious
14,S1_core,5.5,7,4,1,1.6015016398516173,kitchen,3.434276845641936,1,1,49,22,21,1,4,1,1,0,0.25,0.1,direct
15,S1_core,3.25,7,1,0,1.1195174287201353,kitchen,2.903036537551268,1,1,35,13,19,0,1,2,2,1,0.25,0.1,direct
16,S1_core,6.75,10,2,2,1.3525199765625089,kitchen,4.990684142910357,1,0,55,27,23,2,2,1,1,1,0.25,0.1,direct
17,S1_core,5.25,10,2,0,1.42860049240009,kitchen,3.6749252348218415,1,1,45,21,19,0,2,3,1,0,0.25,0.1,direct
18,S1_core,5.5,7,2,1,1.6055955430514028,kitchen,3.4255202213300606,1,0,43,22,16,1,2,2,0,1,0.25,0.1,detour
19,S1_core,4.0,4,3,1,1.4282403873996132,kitchen,2.800648991086697,0,0,33,16,13,1,3,0,1,0,0.25,0.1,direct
20,S1_core,6.25,5,3,1,1.7009245827619943,kitchen,3.674472144938448,1,1,49,25,17,1,3,3,3,1,0.25,0.1,direct
21,S1_core,5.5,6,5,0,1.5305747910395815,kitchen,3.593421263827523,1,0,43,22,14,0,5,2,1,1,0.25,0.1,cautious
22,S1_core,4.5,5,2,1,1.9382497230797289,kitchen,2.32168226127738,1,1,33,18,11,1,2,1,0,1,0.25,0.1,direct
23,S1_core,3.75,5,6,0,1.3919598414387564,kitchen,2.6940432391525952,0,0,28,15,7,0,6,0,0,1,0.25,0.1,direct
24,S1_core,4.25,7,2,1,1.436862219509926,kitchen,2.9578340513744994,1,1,39,17,15,1,2,4,1,0,0.25,0.1,direct
25,S1_core,3.25,4,2,1,1.2024312493855993,kitchen,2.702857233343393,1,0,32,13,15,1,2,1,0,0,0.25,0.1,direct
26,S1_core,3.75,8,3,2,1.136460527265307,kitchen,3.2997186528103333,1,1,42,15,21,2,3,1,0,0,0.25,0.1,direct
27,S1_core,4.5,4,3,1,1.4137412351160632,kitchen,3.183043606725219,1,1,38,18,15,1,3,1,2,1,0.25,0.1,direct
28,S1_core,5.0,5,2,0,1.5314951333455569,kitchen,3.264783472786806,1,0,37,20,11,0,2,4,2,0,0.25,0.1,direct
29,S1_core,3.75,8,6,0,1.379043521592662,kitchen,2.719276035370597,0,0,32,15,11,0,6,0,0,1,0.25,0.1,detour
30,S1_core,6.5,7,1,1,1.5832172593031912,kitchen,4.1055641364475735,1,0,53,26,24,1,1,1,0,1,0.25,0.1,direct
