scene,scenario,seed,pipeline_version,scene_policy_version,path_len_m,obstacles_seen,grasp_attempts,doors_opened,avg_speed,room_type,task_duration_sec,reachable_object,placed,success,mw_counter_defined,success_defined,used_fallback,success_rule_name,mw_topology,target_counter_ids,mug_final_counter_ids,matched_target_counter_id,policy_anchor_x,policy_anchor_z,target_center_x,target_center_z,target_zone_radius_m,dist_to_target_center_m,on_target_surface,inside_target_zone,held_after_put,action_count_total,move_actions,rotate_actions,open_actions,pickup_actions,put_actions,collision_count,scene_profile_note,success_rule_note
FloorPlan1_physics,S1_core,0,v11.1,scene_profiled_v11_1,2,4,1,0,0.471888435,kitchen,4.238289923,1,1,1,0,1,0,adjacent_prep_counter_surface,above_stove,"[""CounterTop|+00.69|+00.95|-02.48"", ""CounterTop|-01.87|+00.95|-01.21""]","[""CounterTop|+00.69|+00.95|-02.48""]",CounterTop|+00.69|+00.95|-02.48,-0.250650033,-2.474099994,0.280000048,-2.474099994,0.3,0.847371385,1,0,0,15,8,5,0,1,1,0,microwave appears above stove burners,"for above-stove microwaves, success means the mug ends up on one of the designated adjacent prep countertops; projected zone is logged for diagnostics only"
FloorPlan1_physics,S1_core,1,v11.1,scene_profiled_v11_1,5.5,4,1,0,1.006990504,kitchen,5.461819133,1,1,1,0,1,0,adjacent_prep_counter_surface,above_stove,"[""CounterTop|+00.69|+00.95|-02.48"", ""CounterTop|-01.87|+00.95|-01.21""]","[""CounterTop|+00.69|+00.95|-02.48""]",CounterTop|+00.69|+00.95|-02.48,-0.250650033,-2.474099994,0.280000048,-2.474099994,0.3,0.847371385,1,0,0,30,22,6,0,1,1,0,microwave appears above stove burners,"for above-stove microwaves, success means the mug ends up on one of the designated adjacent prep countertops; projected zone is logged for diagnostics only"
FloorPlan1_physics,S1_core,2,v11.1,scene_profiled_v11_1,6.75,5,1,1,0.915576106,kitchen,7.372407334,1,1,1,0,1,0,adjacent_prep_counter_surface,above_stove,"[""CounterTop|+00.69|+00.95|-02.48"", ""CounterTop|-01.87|+00.95|-01.21""]","[""CounterTop|+00.69|+00.95|-02.48""]",CounterTop|+00.69|+00.95|-02.48,-0.250650033,-2.474099994,0.280000048,-2.474099994,0.3,0.847371385,1,0,0,42,27,12,1,1,1,0,microwave appears above stove burners,"for above-stove microwaves, success means the mug ends up on one of the designated adjacent prep countertops; projected zone is logged for diagnostics only"
FloorPlan1_physics,S1_core,3,v11.1,scene_profiled_v11_1,4.5,4,1,0,0.930414502,kitchen,4.836554019,1,1,1,0,1,0,adjacent_prep_counter_surface,above_stove,"[""CounterTop|+00.69|+00.95|-02.48"", ""CounterTop|-01.87|+00.95|-01.21""]","[""CounterTop|+00.69|+00.95|-02.48""]",CounterTop|+00.69|+00.95|-02.48,-0.250650033,-2.474099994,0.280000048,-2.474099994,0.3,0.847371385,1,0,0,27,18,7,0,1,1,0,microwave appears above stove burners,"for above-stove microwaves, success means the mug ends up on one of the designated adjacent prep countertops; projected zone is logged for diagnostics only"
FloorPlan1_physics,S1_core,4,v11.1,scene_profiled_v11_1,5,5,1,1,0.920732318,kitchen,5.430459973,1,1,1,0,1,0,adjacent_prep_counter_surface,above_stove,"[""CounterTop|+00.69|+00.95|-02.48"", ""CounterTop|-01.87|+00.95|-01.21""]","[""CounterTop|+00.69|+00.95|-02.48""]",CounterTop|+00.69|+00.95|-02.48,-0.250650033,-2.474099994,0.280000048,-2.474099994,0.3,0.847371385,1,0,0,30,20,7,1,1,1,0,microwave appears above stove burners,"for above-stove microwaves, success means the mug ends up on one of the designated adjacent prep countertops; projected zone is logged for diagnostics only"
FloorPlan1_physics,S1_core,5,v11.1,scene_profiled_v11_1,5.25,4,1,1,0.837778949,kitchen,6.266569492,1,1,1,0,1,0,adjacent_prep_counter_surface,above_stove,"[""CounterTop|+00.69|+00.95|-02.48"", ""CounterTop|-01.87|+00.95|-01.21""]","[""CounterTop|+00.69|+00.95|-02.48""]",CounterTop|+00.69|+00.95|-02.48,-0.250650033,-2.474099994,0.280000048,-2.474099994,0.3,0.847371385,1,0,0,33,21,9,1,1,1,0,microwave appears above stove burners,"for above-stove microwaves, success means the mug ends up on one of the designated adjacent prep countertops; projected zone is logged for diagnostics only"
FloorPlan1_physics,S1_core,6,v11.1,scene_profiled_v11_1,8.25,5,1,1,1.023260498,kitchen,8.06246309,1,1,1,0,1,0,adjacent_prep_counter_surface,above_stove,"[""CounterTop|+00.69|+00.95|-02.48"", ""CounterTop|-01.87|+00.95|-01.21""]","[""CounterTop|+00.69|+00.95|-02.48""]",CounterTop|+00.69|+00.95|-02.48,-0.250650033,-2.474099994,0.280000048,-2.474099994,0.3,0.847371385,1,0,0,43,33,7,1,1,1,0,microwave appears above stove burners,"for above-stove microwaves, success means the mug ends up on one of the designated adjacent prep countertops; projected zone is logged for diagnostics only"
FloorPlan1_physics,S1_core,7,v11.1,scene_profiled_v11_1,9,5,1,1,0.947709485,kitchen,9.49658112,1,1,1,0,1,0,adjacent_prep_counter_surface,above_stove,"[""CounterTop|+00.69|+00.95|-02.48"", ""CounterTop|-01.87|+00.95|-01.21""]","[""CounterTop|+00.69|+00.95|-02.48""]",CounterTop|+00.69|+00.95|-02.48,-0.250650033,-2.474099994,0.280000048,-2.474099994,0.3,0.8473715,1,0,0,55,47,5,1,1,1,11,microwave appears above stove burners,"for above-stove microwaves, success means the mug ends up on one of the designated adjacent prep countertops; projected zone is logged for diagnostics only"
FloorPlan1_physics,S1_core,8,v11.1,scene_profiled_v11_1,10.25,5,1,1,1.120967378,kitchen,9.143887862,1,1,1,0,1,0,adjacent_prep_counter_surface,above_stove,"[""CounterTop|+00.69|+00.95|-02.48"", ""CounterTop|-01.87|+00.95|-01.21""]","[""CounterTop|+00.69|+00.95|-02.48""]",CounterTop|+00.69|+00.95|-02.48,-0.250650033,-2.474099994,0.280000048,-2.474099994,0.3,0.847371385,1,0,0,55,41,11,1,1,1,0,microwave appears above stove burners,"for above-stove microwaves, success means the mug ends up on one of the designated adjacent prep countertops; projected zone is logged for diagnostics only"
FloorPlan1_physics,S1_core,9,v11.1,scene_profiled_v11_1,4.25,4,1,0,0.801883191,kitchen,5.300023804,1,1,1,0,1,0,adjacent_prep_counter_surface,above_stove,"[""CounterTop|+00.69|+00.95|-02.48"", ""CounterTop|-01.87|+00.95|-01.21""]","[""CounterTop|+00.69|+00.95|-02.48""]",CounterTop|+00.69|+00.95|-02.48,-0.250650033,-2.474099994,0.280000048,-2.474099994,0.3,0.847371385,1,0,0,28,17,9,0,1,1,0,microwave appears above stove burners,"for above-stove microwaves, success means the mug ends up on one of the designated adjacent prep countertops; projected zone is logged for diagnostics only"
